Date,January Inches,February Inches,March Inches,April Inches,May Inches,June Inches,July Inches,August Inches,September Inches,October Inches,November Inches,December Inches
1895,4.04,1.42,1.97,3.97,2.12,2.96,2.98,3.45,1.41,1.88,6.52,4.04
1896,1.34,4.34,6.35,1.65,2.39,2.95,4.47,3.48,6.04,3.83,4.27,1.34
1897,3.63,2.15,3.67,2.65,5.04,4.03,5.43,4.2,2.71,1.31,5.33,3.63
1898,2.09,6.46,1.96,3.46,2,4.54,2.66,3.6,2.98,5.9,5.35,2.09
1899,2.86,2.48,5.17,0.96,2.54,3.37,5.55,1.11,3.39,2.31,2.7,2.86
1900,1.65,6.89,5.74,1.91,5.1,3.87,3.51,2.14,3.08,4.65,5.43,1.65
1901,7.14,1.74,5.1,5.55,3.06,2.81,3.36,3.91,2.77,3.62,2.32,7.14
1902,4.76,2.23,8.02,2.9,3.51,6.08,2.68,4.25,3.23,4.47,1.7,4.76
1903,3.19,4.16,6.13,2.1,0.73,3.69,4.36,2.56,1.42,2.98,2.31,3.19
1904,1.94,2.07,3.14,4.06,4.75,2.76,4.04,4.2,6.09,3.01,1.79,1.94
1905,3.2,1.66,1.2,1.69,3.02,3.69,3.58,2.14,4.13,1.3,3.78,3.2
1906,3.51,2.21,4.78,2.99,4.14,3.88,4.25,1.97,1.95,5.52,3.51,3.51
1907,3.41,2.37,2.45,3.95,2.32,5.06,5.36,2.86,6.29,4.45,4.13,3.41
1908,3.2,4.37,2.71,2.45,4.68,2.05,3.24,3.94,1.32,3.81,1.79,3.2
1909,2.54,4.91,4.1,4.14,3.08,2.65,3.14,2.37,7.51,1.94,4.42,2.54
1910,2.71,3.41,1.85,4.02,2.77,3.52,3.91,2.96,2.51,2.29,2.39,2.71
1911,3.26,2.21,3.99,1.19,0.71,4.63,4.4,3.15,3.23,2.16,4,3.26
1912,3.33,3.06,3.84,2.87,6.49,2.17,3.31,5.84,3.2,4.93,4.47,3.33
1913,3.4,2.21,5.29,2.21,3.57,1.31,3.77,3.09,3.7,6.41,2.19,3.4
1914,1.95,2.05,3.79,4.13,1.84,3.85,2.74,3.48,2.09,3.07,2.65,1.95
1915,3.54,3.88,0.46,3.05,3.52,2.37,6.81,3.66,2.45,2.52,2.85,3.54
1916,4.73,3.43,2.17,3.11,4.39,4.62,4.71,2.82,4.12,3.01,3.07,4.73
1917,2.99,2.29,3.42,2.87,3.3,9.36,3.75,5.57,1.58,6.16,1.44,2.99
1918,3.16,3.02,1.98,2.2,2.81,4.01,6.25,2.63,6.56,4.8,3.64,3.16
1919,1.71,2.14,4.02,3.08,3.94,2.35,3.66,2.54,4.14,3.76,3.97,1.71
1920,5.32,5.52,3.36,6.34,1.65,3.02,4.21,3.8,6.6,3.04,3.33,5.32
1921,2.14,2.45,3.3,3.11,1.67,1.88,3.06,4.24,2.8,3.3,4.77,2.14
1922,2.74,2.66,3.36,2.83,2.89,8.98,2.43,4.71,1.67,2.84,2.16,2.74
1923,3.35,1.68,3.65,5.98,1.85,2.7,3.39,2.66,2.22,3.54,3.76,3.35
1924,2.14,2.14,1.35,4.72,3.57,1.91,2.99,3.89,4.81,0.91,3.25,2.14
1925,2.69,2.99,4.16,1.58,2.06,5.23,3.85,1.73,5.17,6.23,4.59,2.69
1926,2.71,3.07,2.65,2.84,2.19,3.01,2.57,3.77,3.43,5.07,5.23,2.71
1927,5.24,2.98,1.39,1.35,4.76,2.61,4.18,4.97,2.2,6.2,6.72,5.24
1928,3.5,2.08,2.55,4,4.64,3.59,3.88,4.06,4.18,3.32,2.5,3.5
1929,3.72,2.09,2.82,4.73,4.5,2.86,2.34,2.84,2.01,3.33,2.55,3.72
1930,2,1.86,5.77,1.66,3.84,3.37,4.13,3.25,2.48,2.69,2.96,2
1931,3.06,1.93,2.81,2.63,3.56,4.62,5.21,3.64,5.01,5.12,1.36,3.06
1932,1.74,1.91,3.81,3.23,2.24,2.07,4.34,4.38,6.31,3.73,4.32,1.74
1933,3.78,2.74,3.64,4.96,2.75,3.06,3.45,3.85,3.7,5.19,2.86,3.78
1934,3.21,2.91,2.39,4.81,1.79,4.7,3.99,2.24,5.43,2.66,3.49,3.21
1935,1.97,2.25,1.81,3.18,2.02,5.52,3.27,2.39,4.34,1.22,4.93,1.97
1936,5.52,2.77,7.11,4.18,4.15,3.51,3.11,2.85,3.36,5.14,2.5,5.52
1937,2.47,2.87,3.14,2.6,4.75,4.47,2.61,2.91,3.69,6,4.46,2.47
1938,4.4,2.73,2.45,2.82,3.93,4.13,5.95,3.91,5.45,2.65,2.71,4.4
1939,3.8,3.13,3.15,3.95,2.04,3,3.32,3.05,3.77,5.02,0.8,3.8
1940,3.32,1.94,3.95,5.83,3.12,4.67,2.86,2.01,4.94,1.27,6,3.32
1941,2.86,1.68,3.07,1.01,2.45,2.31,4.02,3.86,2.21,3.95,3.27,2.86
1942,3.93,3.09,5.48,2.55,2.31,6.12,2.82,2.8,3.78,2.41,3.49,3.93
1943,1.17,2.61,3.1,3.09,3.79,5,3.72,4.66,2.45,6.53,6.06,1.17
1944,3.28,2.85,3.39,2.37,1.26,4.4,3.33,1.98,5.85,4.53,4.14,3.28
1945,3.27,2.78,2.19,4.79,6.09,3.63,4.45,1.93,4.61,4.14,4.14,3.27
1946,3.98,2.91,1.48,3.3,3.4,1.96,3.01,4.49,2.99,2.98,3.38,3.98
1947,1.72,3.73,3.08,2.53,5.37,4.56,5.14,1.71,2.76,0.51,4.13,1.72
1948,3.37,1.35,2.85,2.75,6.38,2.61,2.91,2.21,1.3,3.82,5.93,3.37
1949,2.12,2.39,2.39,2.7,3.28,2.73,2.8,2.54,3.93,2.29,4.54,2.12
1950,5.42,2.55,3.59,3.24,0.93,5.04,2.81,4.53,1.49,2.58,8.33,5.42
1951,4.71,4.45,3.7,5.55,3,2.42,6.33,4.22,2.74,3.52,6.07,4.71
1952,4.54,4.33,2,2.7,3.78,4.9,1.27,2.66,2.98,3.63,2.02,4.54
1953,4.31,3.16,7.32,4.44,3.04,2.37,3.84,2.98,2.97,4.21,3.9,4.31
1954,5.46,4.12,3.23,4.19,5.34,5.87,4.22,5.65,8.24,5.04,4.04,5.46
1955,1.28,5.29,4.5,2.05,3.29,3.01,2.45,4.79,1.83,2.53,3.34,1.28
1956,2.97,2.57,3.6,3.26,3.15,2.8,3.84,3.12,3.5,2.84,3.11,2.97
1957,5.63,1.66,2.05,2.44,2.52,3.34,3.77,2.03,2.97,2.14,5.32,5.63
1958,1.62,3.08,2.88,4.11,2.83,3.19,5.18,4.48,3.01,4.86,3.7,1.62
1959,3.59,2.18,3.87,2.44,1.28,6.48,2.51,4.73,2.57,6.15,6.57,3.59
1960,4.36,5.56,2.36,3.23,4.32,3.87,4.06,1.71,3.72,3.94,3.41,4.36
1961,3.34,3.17,2.86,4.68,5.03,3.56,3.65,2.72,4.47,2.72,4.45,3.34
1962,4.67,1.88,1.49,4.18,2.41,2.64,5.03,4.3,3.49,4.93,5.39,4.67
1963,1.8,2.97,2.82,2.67,3.34,1.42,3.78,5.78,3.2,3.19,8.55,1.8
1964,3.82,1.34,2.95,2.95,2.29,2.24,4.47,3.45,1.73,3.44,3.17,3.82
1965,1.93,3.56,0.56,2.31,1.75,2.03,2.51,3.97,3.22,3.88,4.58,1.93
1966,3.01,2.34,3.38,0.83,2.5,2.98,3.82,2.89,3.58,3.75,5.48,3.01
1967,4.81,2.78,1.16,2.07,4.6,4.29,3.91,3.99,5.53,2.73,3.32,4.81
1968,5.45,1.61,3.57,2.84,2.94,3.77,2.17,2.03,1.93,3.08,5.55,5.45
1969,7.8,4.49,2.54,3.05,3.09,3.49,4.71,3.38,5.32,1.64,7,7.8
1970,3.96,4.87,2.74,3.79,3.89,3.34,2.72,3.79,3.58,4.64,2.76,3.96
1971,2.73,4.39,3.51,1.92,3.49,2.14,3.62,4.5,3.03,2.9,3.3,2.73
1972,5.76,3.73,5.86,2.39,2.83,5.92,4.62,2.82,4.04,3.99,4.65,5.76
1973,9.04,3.21,2.91,5.79,5.38,4.32,4.11,4.77,3.77,3.38,3.23,9.04
1974,2.98,2.33,3.97,4.88,5.02,3.79,4.05,2.92,4.32,1.56,4.24,2.98
1975,4.95,1.8,3.44,2.59,2.15,4.23,3.79,2.26,4.3,3.81,4.76,4.95
1976,4.16,3.87,2.84,3.83,5.11,3.32,6.91,5.85,2.82,5.79,2.22,4.16
1977,5.22,2.88,4.25,2.72,1.71,6.8,2.03,4.6,5.49,6.63,3.29,5.22
1978,2.92,1.06,3.05,3.11,2.46,4.19,2.45,2.08,2.07,3.64,2.1,2.92
1979,2.68,2.3,4.45,4.79,6.09,2.1,3.05,5.1,3.5,4.77,3.76,2.68
1980,2.29,0.96,3.7,4.24,1.44,2.87,5.22,2.75,4.63,3.91,4.07,2.29
1981,4.59,3.64,1.87,3.31,3.6,4.3,4.64,5.34,6.29,6.32,3.04,4.59
1982,2.18,2.68,2.85,3.66,1.19,4.87,2.65,4.2,3.35,1.45,4.97,2.18
1983,6.27,2.76,5.4,7.36,5.69,1.79,4.74,3.55,2.53,2.92,9.44,6.27
1984,3.26,4.11,4.45,2.96,7.26,6.13,4.37,2.26,1.59,2.36,2.76,3.26
1985,2.16,2.88,2.76,1.54,3.04,3.96,3.84,3.72,3.48,2.79,4.37,2.16
1986,3.05,1.46,3.46,2.73,3.95,3.33,4.8,5.22,3.66,1.65,3.83,3.05
1987,3.37,0.53,2.92,4.02,2.89,4.48,2.39,1.98,5.61,3.64,2.74,3.37
1988,1.39,2.93,1.4,3.26,2.34,2.48,4.64,5.91,1.84,3.96,5.94,1.39
1989,1.94,2.15,2.49,3.09,7.07,4.08,2.31,4.83,3.96,3.03,5.08,1.94
1990,5.61,2.24,1.98,3.56,5.28,4.46,3.57,4.87,3.56,7.71,4.28,5.61
1991,2.56,1.27,5.14,3.69,3.7,2.35,2.25,8.17,4.63,4.38,3.27,2.56
1992,1.76,2.97,3.57,2.15,1.07,4.58,4.31,3.65,2.71,3.49,3.22,1.76
1993,5.03,3.21,3.2,5.48,2.32,4.27,2.6,2.5,4.38,4.3,4.04,5.03
1994,2.74,1.41,4.13,4.08,4.3,3.89,3.73,2.63,4.41,1.52,4.21,2.74
1995,3.16,2.6,2.57,2.24,3.92,2.36,3.94,1.77,2.55,6.7,6.47,3.16
1996,5.99,3.73,2.22,4.94,4.9,4.34,7.57,1.66,5.08,4.12,2.05,5.99
1997,2.77,2.61,3.29,2.82,4.15,3.28,3.44,4.52,3.09,1.43,3.97,2.77
1998,1.94,3.57,4,3.09,3.13,6.81,3.94,2.78,2.86,5.04,2.69,1.94
1999,3,2.22,5.41,0.87,2.85,3.37,3.17,3.07,9.04,4.43,3.49,3
2000,4.4,3.11,3.6,5.74,4.62,2.65,4.17,2.61,2.27,3.37,2.99,4.4
2001,2.1,2.69,3.71,1,2.06,3.76,3.76,1.53,3.7,1.96,2.23,2.1
2002,3.1,3.25,3.52,4.42,3.4,4.17,3.96,0.98,4.25,3.06,4.21,3.1
2003,6.33,2.66,3.51,1.92,3.49,3.27,3.47,3.53,4.2,7.93,4.4,6.33
2004,4.36,1.44,1.61,3.41,3.79,2.77,4.68,6.38,2.74,2.46,4.19,4.36
2005,5.3,2.53,4.27,7.3,5.87,3.44,3.89,4.44,4.68,11.26,6.27,5.3
2006,2.94,2.51,1.2,2.35,5.9,7.39,5.46,3.84,2.96,7.85,4.97,2.94
2007,4.26,2.06,4.14,6.48,3.2,3.05,3.56,4.14,2.38,4.85,6.9,4.26
2008,5.32,5.36,4.62,4.24,1.65,6.16,4.91,5.41,6.01,4.09,5.34,5.32
2009,4.31,2.65,2.45,3.97,4.07,6.7,6.71,3.98,1.75,5.53,4.77,4.31
2010,6.31,2.67,5.11,2.82,2.09,5.54,2.87,2.33,5.37,5.93,5.2,6.31
2011,3.49,2.95,4.93,4.75,5.49,4.06,3.69,7.44,3.89,4.97,2.49,3.49
2012,5.11,1.76,1.94,4.14,4.68,7.58,1.89,4.29,4.91,6.69,1.29,5.11
2013,3.76,3.06,2.45,1.98,5.67,6.55,4.89,4.6,5.42,1.7,4.11,3.76
2014,6.08,2.85,3.8,3.44,3.99,4.58,6.65,3.34,1.61,6.2,3.5,6.08
2015,5.31,1.74,1.78,3.08,2.8,5.79,3.61,3.9,4.82,4.73,2.43,5.31
2016,4.57,4.74,3.74,2.53,2.56,3.41,3.78,4.15,1.58,3.98,3.82,4.57
2017,3.87,3.11,2.69,4.11,5.67,3.73,2.84,2.45,3.08,7.17,2.77,3.87
2018,3.79,3.02,2.95,4.65,1.92,3.69,4.06,3.78,3.15,4.48,6.18,3.79
2019,3.75,2.87,2.19,5.37,4.49,4.69,3.31,4.8,3.46,5.73,4.08,3.75
2020,5.33,2.85,2.7,4.17,2.62,2.29,3.85,2.81,1,6.12,3.83,5.33
2021,3.15,2.9,1.98,3.24,2.74,2.22,5.46,2.66,6.46,3.78,3.28,3.15
2022,-99,3.82,3.33,4.46,2.82,3.28,4.48,4.95,4.62,5.66,4.32,-99
